,,
"5 athletes, 100 auctions","50 athletes, 1000 auctions","500 athletes, 10000 auctions"
0.09819442105,0.09624602759,0.09995107133
0.100356471,0.1008551639,0.1002767884
0.1036771649,0.1065427349,0.1021855153
0.1026533752,0.1022790344,0.09656632517
0.1019419491,0.09842864625,0.09856090989
,0.09859429317,0.1021658179
,0.1019665226,0.09801661848
,0.1027867913,0.09719755189
,0.09563530188,0.09628341419
,0.09752157106,0.09552763704
,0.1017510815,0.1008935397
,0.09677964445,0.1024810732
,0.1010869638,0.09825298834
,0.1019863866,0.09903617408
,0.1029578244,0.1012060468
,0.1016492607,0.09854471682
,0.09830199603,0.09760878166
,0.100397327,0.1023853439
,0.09997202287,0.1001378343
,0.1016701018,0.1024529552
,0.09998642023,0.09770859056
,0.1016431968,0.09989505563
,0.1053361463,0.1040385047
,0.09934223762,0.1017736736
,0.1019017368,0.09781862052
,0.1005696113,0.1022424308
,0.1013451049,0.09997520989
,0.09773286078,0.1024953028
,0.09881095365,0.09810674965
,0.09729054356,0.1035712674
,0.09669858349,0.09954571068
,0.09757637207,0.09791721494
,0.09652795074,0.101934813
,0.09954103276,0.09606197485
,0.1041150615,0.09896912607
,0.1020195641,0.09674436517
,0.1025100256,0.1014804008
,0.09680260558,0.09796217527
,0.1039004898,0.09721354005
,0.1038275355,0.09777098308
,0.1041580101,0.09641781098
,0.1031370674,0.09868819657
,0.09997751458,0.0965098143
,0.09803737438,0.1032970351
,0.09645334988,0.09838373768
,0.09843636895,0.1015007135
,0.1032362917,0.1021005642
,0.1006105645,0.1008378241
,0.09727014152,0.09879725762
,0.09938114265,0.09959287668
,,0.09557846022
,,0.09734189975
,,0.09791968339
,,0.09299539433
,,0.09989310379
,,0.09862308805
,,0.09830732705
,,0.1002266613
,,0.1009286059
,,0.09922433159
,,0.101946477
,,0.09583004096
,,0.09864756756
,,0.1034332366
,,0.09482462494
,,0.1037250455
,,0.1051705153
,,0.1002775159
,,0.09887538991
,,0.09935016484
,,0.0982210535
,,0.1012501786
,,0.1020161651
,,0.1003738815
,,0.1019219114
,,0.1007178523
,,0.0975504916
,,0.0969642965
,,0.1020716996
,,0.1006580217
,,0.1036852894
,,0.1016293327
,,0.09630299063
,,0.09911232408
,,0.1037982163
,,0.09817516036
,,0.1008510602
,,0.1012028317
,,0.1049357566
,,0.09996319421
,,0.09877079969
,,0.1044296575
,,0.09812645896
,,0.09968480608
,,0.103600417
,,0.09630866963
,,0.1043008927
,,0.1029777575
,,0.09793503953
,,0.1001868326
,,0.09530792644
,,0.1010407076
,,0.09656284847
,,0.09314430789
,,0.09971206696
,,0.1027027147
,,0.09712876038
,,0.1032429609
,,0.1018249422
,,0.09856348917
,,0.09178026761
,,0.1021955178
,,0.1008116309
,,0.09656455836
,,0.1051311064
,,0.09737765227
,,0.1028292501
,,0.1040271657
,,0.104884239
,,0.09897390141
,,0.09879295174
,,0.1012131873
,,0.09923111027
,,0.09945441022
,,0.1019221328
,,0.1016973654
,,0.1008285678
,,0.1021595857
,,0.1017443967
,,0.0991500812
,,0.1015178207
,,0.09885664026
,,0.101818481
,,0.1004537295
,,0.1000612662
,,0.1006128478
,,0.1013067632
,,0.09770480239
,,0.1003309469
,,0.1039961488
,,0.1030605322
,,0.1045416445
,,0.09668471084
,,0.103589488
,,0.1012823475
,,0.09603836547
,,0.09955020719
,,0.0970186115
,,0.09973817419
,,0.1014741672
,,0.09857121871
,,0.106082129
,,0.09867597146
,,0.09887408206
,,0.1015418165
,,0.09777443437
,,0.1001937432
,,0.1013372511
,,0.09949937637
,,0.1001817475
,,0.1015085489
,,0.102255543
,,0.09953428939
,,0.0966626213
,,0.09971646409
,,0.09925389983
,,0.09827928329
,,0.097324507
,,0.103537158
,,0.1061595413
,,0.1051671825
,,0.1051026091
,,0.1020396902
,,0.09964418092
,,0.1015181634
,,0.1024406908
,,0.103279712
,,0.09989832352
,,0.1005936406
,,0.1028713663
,,0.09942803595
,,0.09913683914
