purchases,,,,,,exchanges,,,,,,auctions,,
"5 athletes, 100 purchases","5 athletes, 100 purchases, varying price","50 athletes, 1000 purchases","50 athletes, 1000 purchases, varying price","500 athletes, 10000 purchases","500 athletes, 10000 purchases, varying price","5 athletes, 100 exchanges both ways","5 athletes, 100 exchanges one way","50 athletes, 1000 exchanges, both ways","50 athletes, 1000 exchanges, one way","500 athletes, 10000 exchanges, both ways","500 athletes, 10000 exchanges, one way","5 athletes, 100 auctions","50 athletes, 1000 auctions","500 athletes, 10000 auctions"
0.004890100285,0.006059473917,0.05244235542,0.06686505538,0.3110945837,0.3412022677,0.0006356350941,0.01995414474,0.0005550265227,0.02682675228,0.0005701814851,0.01315294351,0.0534139757,0.7902527655,1.815830708
0.005463506866,0.007094358599,0.09835752507,0.1935105889,0.3825430813,0.4385241333,0.0009036492341,0.03549636517,0.001424373691,0.07931250272,0.0004541699353,0.008857953907,0.08487501175,4.835961969,3.214643977
0.003002497005,0.003273171758,0.01573824016,0.0161280641,0.9691755466,1.879523339,0.0004349218668,0.01145538984,0.000959680615,0.004630939221,0.0042077502,0.09389854066,0.01447571614,0.03538896283,46.72603328
0.009209695022,0.01702121857,0.001631248514,0.001631682585,0.988680163,1.955103618,0.001137081957,0.07840599336,7.64E-05,0.001621446643,0.002261231923,0.07256535937,0.3977965497,0.001621507818,49.24884805
0.009464460256,0.01794234593,0.04800688518,0.0590708449,0.1090222864,0.1103181099,0.001398690032,0.0878826287,0.0003551469199,0.02269876435,0.001294818391,0.003453053436,0.4044557251,0.5953659987,0.1750254475
,,0.06261047161,0.08715422199,0.9317333558,1.740596282,,,0.0004204520947,0.04616725041,0.001611844471,0.1081164279,,1.31638848,41.7068893
,,0.08711806296,0.1532368125,0.2463877116,0.2613451469,,,0.002043998119,0.08769965143,0.001099697287,0.006358399349,,3.494256444,1.005528244
,,0.03510184973,0.03942688854,0.275457444,0.2963582743,,,0.0007250947692,0.02178878937,0.0008441626914,0.01220415881,,0.2409670942,1.338819651
,,0.04679118277,0.05703571351,0.3053946874,0.3338776024,,,0.0009587275083,0.01889248287,0.001130457196,0.005894412304,,0.5635192398,1.738673804
,,0.04021258978,0.04671517617,0.6833505653,1.002453409,,,0.000597039131,0.0163603317,0.0004484625071,0.05598698728,,0.3787031293,16.73247812
,,0.01190146378,0.01207004187,0.02209018861,0.0221009681,,,0.0004220344307,0.002234601754,0.0001386813695,0.002451953131,,0.02044103932,0.02253491374
,,0.05299157461,0.06787217566,0.4082082407,0.4762295995,,,0.001314051881,0.02260257813,0.0005744961486,0.02127534257,,0.7612980352,3.760789032
,,0.09237295852,0.1711926191,0.09350076863,0.09431818916,,,0.001544942298,0.09848135997,0.0005534380808,0.002883471693,,4.09756008,0.135308185
,,0.06239604885,0.08668849609,0.6095264782,0.8359792961,,,0.002168730854,0.02624052975,0.0009951834228,0.05626610138,,1.306188186,12.19181238
,,0.001339681104,0.001339921542,0.6817521287,0.9986209496,,,6.65E-05,0.003131276236,0.0005354560631,0.06412555554,,0.001310620254,16.61025664
