5 athletes 100 purchases,50 athletes 1000 purchases,500 athletes 10000 purchases,5 athletes 100 exchanges both way,5 athletes 100 exchanges one way,50 athletes 1000 exchnages both eays,50 athletes 1000 exchanges one way,500 athletes 10000 exchnages both ways,"500 athletes, 10000 exchanges one way",5 athletes 100 auctions,50 athletes 1000 auctions,"500 athletes, 10000 auctions"
0.001949,0.002036,0.002004,0.001049037194,0.002030452117,0.05896039286,0.05653463703,0.01878520779,0.009944286825,0.001996959809,0.05346266588,0.009746027965
0.002113,0.001952,0.002029,0.003511769449,0.004449115128,0.019146065,0.009627690587,0.02577219383,0.01692215557,0.004370622426,0.01029591999,0.0174059499
0.00199,0.002038,0.002027,0.003289297538,0.00413795237,0.01234614658,0.003224025291,0.004658022129,0.001999152043,0.004208815102,0.003125969669,0.002151981843
0.001934,0.001931,0.001995,0.01399994082,0.01308005788,0.01204362422,0.003061911453,0.05197796145,0.04780917526,0.01334034067,0.003079977621,0.04922401657
0.002014,0.001932,0.001995,0.00293249721,0.003314566771,0.02397959727,0.01526094991,0.03129748851,0.02539679905,0.003322231618,0.01633956796,0.02498321471
,0.001996,0.001991,,,0.03314559007,0.02783671102,0.02657935946,0.02060604799,,0.02883828147,0.02174064724
,0.001994,0.002051,,,0.03707658305,0.0319550387,0.02280988328,0.01480028736,,0.03203288474,0.01468086416
,0.001963,0.001994,,,0.09597568272,0.08142526343,0.003820924367,0.002001798443,,0.09112851122,0.001974370604
,0.001932,0.001877,,,0.04373582165,0.03843079831,0.002032735578,0.002011950158,,0.03967765092,0.002038990012
,0.002068,0.002005,,,0.0162083641,0.005364292482,0.06263489884,0.05669529058,,0.005498886606,0.05540297394
,0.001953,0.001937,,,0.02182514357,0.01260043837,0.03395865242,0.02774086853,,0.01305137276,0.02724349567
,0.001974,0.002014,,,0.08142601069,0.07534412131,0.005634737082,0.002147693196,,0.07356268579,0.002087654812
,0.002103,0.001961,,,0.008250661026,0.002346341212,0.01996002204,0.01110765079,,0.002338883129,0.01097339029
,0.002074,0.002059,,,0.01884820532,0.009678310369,0.01701884152,0.007415631879,,0.009259428506,0.007677438393
,0.002007,0.00198,,,0.02930666275,0.02470655762,0.00206581609,0.002086218573,,0.02236372637,0.002042049812
,0.00197,0.002021,,,0.05585003871,0.05476653328,0.01398963012,0.004429180861,,0.05259304799,0.004515659864
,0.002053,0.001934,,,0.01642912573,0.005664398944,0.007052872167,0.002139216045,,0.005720369256,0.002131210486
,0.001962,0.001985,,,0.01179588012,0.002980761379,0.02218213275,0.01482935339,,0.002912487722,0.01406472806
,0.002043,0.002063,,,0.01264633344,0.003464061331,0.03050635073,0.02384533645,,0.003393328607,0.02452698593
,0.001971,0.001925,,,0.03476470035,0.02948427417,0.002890794985,0.001972126166,,0.0300255788,0.001992144152
,0.002062,0.002055,,,0.07893616468,0.07140561706,0.0740008068,0.069361709,,0.0707449939,0.06404678736
,0.002031,0.002006,,,0.1093365941,0.09587112987,0.03655451468,0.03344390866,,0.09867264133,0.03262612328
